source,geography,category,type,official_api,official_feed,partnership_required,auth,public_access,commercial_use,aggregation,raw_storage,derived_data,attribution,rate_limits,pagination,freshness,historical,employer_info,salary_info,skills_info,source_quality,technical_feasibility,legal_feasibility,shipaton_value,classification,evidence
AMS Austria,Austria,Government,Aggregate vacancy data,no,yes,no,none,yes,yes,yes,yes,yes,required,n/a,n/a,n/a,n/a,none,no,ONACE,medium,high,high,low,RESEARCH_REQUIRED,CC-BY on data.gv.at. AGGREGATE ONLY - no postings API
VDAB,Belgium,Government,Regional employment service,yes,no,yes,partnership,no,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,medium,medium,UNRESOLVED,medium,PARTNERSHIP_REQUIRED,Vacancy API requires VDAB approval and a signed cooperation agreement
werk.nl,Netherlands,Government,National employment service,no,no,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,none,n/a,medium,NOT_FEASIBLE,No API exists for individual vacancies
Job-Room,Switzerland,Government,National employment service,yes (inbound),no,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,none - inbound only,n/a,medium,NOT_FEASIBLE,"api.job-room.ch is an employer PUBLISHING API, not retrieval"
Adzuna,Global,Aggregator,Job search aggregator,yes,no,yes,app id + key,self-serve,trial only,PROHIBITED,unstated,PROHIBITED,required,25/min 250/day,page number,daily,yes,display name,predicted + actual,categories only,medium,high,none,high,NOT_FEASIBLE,Terms prohibit use 'in aggregation (including but not limited to vacancy counts)' without written consent
Lightcast,Global,Data vendor,Labour market data,yes,no,yes,OAuth2,sales only,contract,contract,capped 10-1000,PROHIBITED for AI,required,10/sec,page number,monthly pipeline,"yes, 2010+",full + enrichment,yes,"Open Skills, LOT, SOC, ONET",very high,high,none self-serve,very high,PARTNERSHIP_REQUIRED,Open ToU excludes commercial use; AI/ML Terms bar generative-AI input with 5x liquidated damages
Jooble,Global,Aggregator,Job search aggregator,yes,no,yes,key in URL path,form-gated,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,unknown,500 per key LIFETIME,page number,daily,no,"name, unreliable",string,none,low,medium,none,medium,NOT_FEASIBLE,API Terms of Use referenced by docs but published at no reachable URL
The Muse,USA,Commercial,Curated job board,yes,no,no,optional key,self-serve,NO,NO,unstated,NO,required,500-3600/hr,"page, 2000 cap",poor - 18mo stale,no,company id,no,weak categories,low,high,none,low,NOT_FEASIBLE,2025 ToU grants access 'solely for your personal and non-commercial purposes'
Remotive,Global remote,Commercial,Remote board,yes,yes,yes,none,yes,paid only,paid only,paid only,paid only,required,unknown,none,daily,no,name,sometimes,tags,low,high,none free,low,PARTNERSHIP_REQUIRED,"'We offer a private, paid-for API... starting budget is $5k/mo'"
Arbeitnow,Germany/remote,Commercial,Remote board,yes,yes,no,none,yes,NO,NO,NO,NO,unknown,unknown,page,daily,no,name,sometimes,tags,low,high,none,low,NOT_FEASIBLE,"ToS: 'personal, non-commercial transitory viewing only'"
Himalayas,Global remote,Commercial,Remote board,yes,yes,no,none,yes,NO,NO,NO,NO,unknown,unknown,page,daily,no,name,yes,tags,medium,high,none,low,NOT_FEASIBLE,Non-commercial terms plus explicit prohibition on data mining and screen scraping
WeWorkRemotely,Global remote,Commercial,Remote board,no,yes (RSS),no,none,yes,NO,NO,NO,NO,unknown,unknown,none,daily,no,name,sometimes,none,medium,high,none,low,NOT_FEASIBLE,"'Scraping, copying, saving, or storing our data is strictly prohibited'"
RemoteOK,Global remote,Commercial,Remote board,yes,yes,no,none,yes,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,required,unknown,none,daily,no,name,yes,tags,low,high,UNRESOLVED,low,RESEARCH_REQUIRED,Terms cover attribution and trademark only; /terms is 404. Highest PII observed
Talent.com,Global,Aggregator,Job search aggregator,yes,yes,yes,partner,no,no,no,no,no,unknown,unknown,unknown,daily,no,name,yes,none,medium,medium,none without agreement,high,PARTNERSHIP_REQUIRED,'you must have a prior written agreement with us'
Careerjet,Global,Aggregator,Job search aggregator,yes,no,no,affiliate id,self-serve,conditional,conditional,unstated,unstated,required,unknown,offset,daily,no,name,sometimes,none,medium,LOW,UNRESOLVED,medium,NOT_FEASIBLE,Requires the triggering end-user's IP and user agent per call; an unattended pipeline cannot honestly satisfy that
Findwork.dev,Global,Commercial,Developer job board,yes,no,no,key,self-serve,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,unknown,unknown,page,daily,no,name,sometimes,tags,low,high,UNRESOLVED,low,RESEARCH_REQUIRED,No public terms addressing API reuse
Reed.co.uk,UK,Commercial,Job board,yes,no,no,key,self-serve,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,unknown,unknown,offset,daily,no,name,yes,none,medium,high,UNRESOLVED,medium,RESEARCH_REQUIRED,No public terms addressing API reuse found
WhatJobs,Global,Aggregator,Job search aggregator,yes,yes,yes,partner,no,unknown,unknown,unknown,unknown,unknown,unknown,unknown,daily,no,name,sometimes,none,low,medium,UNRESOLVED,medium,RESEARCH_REQUIRED,Partner-gated; terms not assessed
Lever,Global,ATS,Per-company postings endpoint,yes,no,unknown,none,yes,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,unknown,none on GET,offset,daily,no,NONE in payload,sometimes,free text,high,high,none,high,NOT_FEASIBLE,Only third-party sentence is a warning to customers: 'These jobs may be scraped by third parties'
SmartRecruiters,Global,ATS,Public postings API,yes,no,yes,none,yes,NO,NO,NO,NO,unknown,unknown,offset,daily,no,company,sometimes,free text,high,high,none,high,NOT_FEASIBLE,"Incorporates SAP API Policy: prohibits 'scraping, harvesting, or systematic and/or large-scale data extraction'"
Ashby,Global,ATS,Public postings endpoint,yes,no,yes,none,yes,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,unknown,unknown,unknown,daily,no,company,sometimes,free text,high,high,none,high,PARTNERSHIP_REQUIRED,Customer-bound ToS with no third-party grant; runs a consent-gated partner feed
Workable,Global,ATS,Public postings endpoint,yes,no,yes,none,challenged,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,unknown,bot challenge after ~13 req,unknown,daily,no,company,sometimes,free text,high,medium,none,high,PARTNERSHIP_REQUIRED,Customer-bound ToS; serves active bot challenges; runs a consent-gated partner feed
Recruitee / Tellent,Global,ATS,Careers Site API,yes,yes,yes,none until Feb 2027,yes,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,unknown,none published,offset,daily,no,NONE in payload,sometimes,free text,medium,high,none,medium,NOT_FEASIBLE,T&C 2.4: 'An End-User that is not the Subscriber does not derive any rights'. Anonymous access ends 10 Feb 2027
Personio,Europe,ATS,XML career feed,yes,yes,yes,none,yes,NO,NO,NO,NO,unknown,undefined,none,daily,no,company,sometimes,free text,medium,high,none,medium,NOT_FEASIBLE,Legal Notice on the feed host bars distribution/copying without written consent; Marketplace ToS 4.2 bars 'publicly available directories'
data.gov.in (GODL-India) AGGREGATE,India,Government,Open data portal,yes,no,no,registered key,portal Disallow: /,yes,yes,yes,yes,REQUIRED user-facing,"undocumented, 429s real",offset/limit,"stale, ad hoc",yes,none,no,NCO in some sets,medium,AGGREGATE - contract cannot ingest,high (GODL s3),medium,BUILD_AFTER_ACCESS,GODL s3 grants commercial use; employment holdings are counts not postings
data.gov.in AS POSTINGS,India,Government,Open data portal,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,none - wrong data shape,n/a,n/a,NOT_FEASIBLE,Publishes no vacancy-level rows; not an access problem
National Career Service (NCS),India,Government,National employment service,internal only,no,yes,none published,yes (SPA),UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,required,unknown,unknown,"live, 1.77M active",unknown,yes,unknown,NCO,high,high if access granted,UNRESOLVED,very high,PARTNERSHIP_REQUIRED,Website policy carves out third-party copyright; corpus supplied inbound by private boards under ~25 MoUs
API Setu,India,Government,API exchange,yes,no,no,consent artifact,registration,no,no,no,no,required,unknown,n/a,n/a,n/a,n/a,n/a,n/a,n/a,none - wrong shape,n/a,none,NOT_FEASIBLE,All 181 collections enumerated; zero vacancy APIs. Consent-based per-citizen document exchange
IndianAPI,India,Commercial,Scraper aggregator,yes,no,no,api key,self-serve,claims yes,claims yes,claims yes,claims yes,none,unknown,unknown,stale,no,name,unknown,free text,very low,high,none - grantor holds no rights,none,NOT_FEASIBLE,Own spec: data 'scraped from all over the internet'
Jobvetta,India,Commercial,Aggregator,yes,no,no,api key,self-serve,no,no,no,no,none,500 records/day,none,unknown,no,unknown,null in docs,free text,very low,LOW,none,none,NOT_FEASIBLE,No legal entity named; terms bar resale/republish; operates a takedown channel
Cutshort,India,Commercial,ATS / recruiting,yes,no,yes,api key,customers only,own hiring only,no,no,no,unknown,unknown,unknown,live,no,yes,unknown,yes,high,none - reads candidates not market,clean but wrong scope,low,NOT_FEASIBLE,API reads candidates and own-workspace jobs; no market-wide job read
Naukri (Info Edge),India,Commercial,Job board,no,no,yes,n/a,robots disallows ClaudeBot,no,no,no,no,unknown,n/a,n/a,live,no,yes,yes,free text,very high,n/a,none without consent,very high,PARTNERSHIP_REQUIRED,No third-party read API; group anti-crawl terms
Hirist / iimjobs (Info Edge),India,Commercial,Tech job board,no,no,yes,n/a,no,no,no,no,no,unknown,n/a,n/a,live,no,yes,yes,free text,high,n/a,none without consent,high,PARTNERSHIP_REQUIRED,'Using content ... for derivative works with a commercial motive without prior written consent from Info Edge is strictly prohibited'
Foundit (Quess),India,Commercial,Job board,no,no,yes,n/a,"robots names ClaudeBot, disallows /jobs/",no,no,no,no,unknown,n/a,n/a,live,no,yes,yes,free text,high,n/a,none,high,NOT_FEASIBLE,robots.txt explicitly disallows ClaudeBot on job paths
Shine (HT Media),India,Commercial,Job board,no,no,yes,n/a,no,no,no,no,no,unknown,n/a,n/a,live,no,yes,yes,free text,medium,n/a,none without consent,medium,PARTNERSHIP_REQUIRED,Explicit anti-scraping and anti-AI-training clause
Freshersworld (TeamLease),India,Commercial,Entry-level board,no,no,yes,n/a,robots allows ClaudeBot but terms forbid mining,no,no,no,no,unknown,n/a,n/a,live,no,yes,sometimes,free text,medium,n/a,none,medium,PARTNERSHIP_REQUIRED,"robots permissive, terms restrictive - the misleading artefact"
TimesJobs,India,Commercial,Job board,no,no,unknown,n/a,unknown,unknown,unknown,unknown,unknown,unknown,n/a,n/a,live,no,yes,sometimes,free text,medium,n/a,UNRESOLVED,medium,RESEARCH_REQUIRED,"Live, not wound down; operating entity unresolved"
Instahyre,India,Commercial,Tech job board,no,no,unknown,n/a,403 to automated access,unknown,unknown,unknown,unknown,unknown,n/a,n/a,live,no,yes,yes,free text,medium,n/a,UNRESOLVED,medium,RESEARCH_REQUIRED,403s all automated access; terms unreadable at source
Wellfound,Global/India,Commercial,Startup job board,no (dead),no,no,n/a,no,no,no,no,no,unknown,n/a,n/a,live,no,yes,yes,tags,medium,n/a,none,medium,NOT_FEASIBLE,Permission runs to public search engines 'excluding any caches or archives'
e-Shram,India,Government,Worker registry,yes,no,no,registered key,yes,yes,yes,yes,yes,required,undocumented,offset/limit,"previous-day, district",yes,none,no,none,medium,AGGREGATE + measures workers not vacancies,high (GODL),low,RESEARCH_REQUIRED,"Freshest Indian feed found, but counts workers not vacancies"
